Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
10.88 12.01 9.21 17.77 29.53 37.9 44.88 25.16 41.04 29.92 19.87 24.4
14.38 9.61 11.11 17.47 25.43 30.6 43.18 26.36 47.84 23.42 14.67 19.7
17.98 7.31 13.21 17.27 21.63 23.9 42.28 28.36 55.24 17.52 9.87 15.2
16.58 15.41 7.31 11.27 23.73 40.5 25.88 87.36 41.24 27.12 12.97 13.7
13.08 20.01 14.61 13.27 11.63 39.1 19.98 25.96 44.64 22.52 25.27 25.9
11.38 11.11 9.21 9.27 9.93 99.1 44.38 81.46 48.54 26.92 20.57 34.2
13.78 12.21 25.31 14.97 30.13 35.8 73.58 20.86 50.84 42.72 19.07 8.4
26.88 20.91 17.41 21.77 25.23 38.3 36.38 34.86 35.44 32.92 14.27 13.6
13.88 24.81 18.51 15.77 19.73 25.9 80.58 39.96 29.84 36.32 38.27 20.9
14.98 35.01 25.61 11.87 34.33 102.3 39.78 44.86 41.04 46.02 13.77 30.3
23.78 6.31 14.51 12.07 15.73 65.7 36.28 36.26 40.74 27.52 11.27 19.4
16.88 13.11 9.91 16.57 35.93 63.5 75.28 38.36 52.44 31.62 26.67 31.3
19.38 18.51 14.21 19.27 14.23 26.4 22.58 62.06 45.64 27.02 37.87 25.3
9.98 11.11 21.31 19.57 13.23 39.9 72.28 59.76 32.94 38.92 10.37 38.1
12.68 16.41 9.61 13.97 15.73 48.4 39.58 31.16 36.44 17.82 24.67 27.8
10.28 4.61 10.91 9.87 20.83 46.9 86.28 42.86 51.44 39.52 25.97 17.4
17.08 13.31 4.91 21.07 11.63 24.1 26.98 70.26 25.44 34.12 35.27 32.7
33.88 19.11 9.51 6.17 28.83 20.7 13.98 64.96 38.24 30.02 25.07 12.8
18.18 25.91 25.11 15.17 10.53 27.5 28.08 81.96 26.04 48.32 33.47 13.6
12.88 10.31 18.31 17.47 13.83 31.7 42.58 60.66 54.64 20.12 47.57 13
11.08 12.21 9.41 17.97 29.83 38.5 45.68 25.96 41.64 30.42 20.17 24.7
14.58 9.81 11.31 17.67 25.73 31.2 43.98 27.16 48.44 23.92 14.97 20
18.48 7.71 13.51 17.67 22.13 25.1 43.68 29.76 56.34 18.42 10.57 15.7
17.08 15.81 7.61 11.67 24.23 41.7 27.28 88.76 42.34 28.02 13.67 14.2
13.58 20.41 14.91 13.67 12.13 40.3 21.38 27.36 45.74 23.42 25.97 26.4
11.88 11.51 9.51 9.67 10.43 100.3 45.78 82.86 49.64 27.82 21.27 34.7
14.28 12.61 25.61 15.37 30.63 37 74.98 22.26 51.94 43.62 19.77 8.9
27.38 21.31 17.71 22.17 25.73 39.5 37.78 36.26 36.54 33.82 14.97 14.1
14.38 25.21 18.81 16.17 20.23 27.1 81.98 41.36 30.94 37.22 38.97 21.4
15.48 35.41 25.91 12.27 34.83 103.5 41.18 46.26 42.14 46.92 14.47 30.8
24.28 6.71 14.81 12.47 16.23 66.9 37.68 37.66 41.84 28.42 11.97 19.9
17.38 13.51 10.21 16.97 36.43 64.7 76.68 39.76 53.54 32.52 27.37 31.8
19.88 18.91 14.51 19.67 14.73 27.6 23.98 63.46 46.74 27.92 38.57 25.8
10.48 11.51 21.61 19.97 13.73 41.1 73.68 61.16 34.04 39.82 11.07 38.6
13.18 16.81 9.91 14.37 16.23 49.6 40.98 32.56 37.54 18.72 25.37 28.3
10.78 5.01 11.21 10.27 21.33 48.1 87.68 44.26 52.54 40.42 26.67 17.9
17.58 13.71 5.21 21.47 12.13 25.3 28.38 71.66 26.54 35.02 35.97 33.2
34.38 19.51 9.81 6.57 29.33 21.9 15.38 66.36 39.34 30.92 25.77 13.3
18.68 26.31 25.41 15.57 11.03 28.7 29.48 83.36 27.14 49.22 34.17 14.1
13.38 10.71 18.61 17.87 14.33 32.9 43.98 62.06 55.74 21.02 48.27 13.5
11.58 12.61 9.71 18.37 30.33 39.7 47.08 27.36 42.74 31.32 20.87 25.2
18.58 11.71 10.21 15.47 21.53 31.8 43.08 34.16 37.24 42.42 22.07 24.4
25.88 11.31 11.21 12.87 13.23 25 40.48 42.56 32.94 54.32 23.87 24.1
