Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-28.8 -32.9 -29.5 -15.8 -5.2 9.4 13.1 8.6 2.9 -10 -31.5 -35.9
-27.1 -31.7 -26.6 -17.4 -6.6 2.2 11.7 8.9 1.8 -13.4 -27.7 -29.9
-32.7 -24.6 -24.7 -8.9 -4.1 8.7 11.3 10 2 -9.4 -26.6 -36.9
-26 -32.1 -35.8 -23.4 -4.5 7.2 12.3 7.6 2.7 -12.8 -29 -23.3
-38.9 -37.8 -35.5 -23.5 -6.7 9.8 15.6 9.9 1.3 -9.3 -29.4 -35.7
-33.6 -30.3 -29.1 -17.5 -6.3 7.2 11.7 8.3 1.6 -15.8 -26.4 -37
-37.4 -28.8 -28.1 -21.6 -10.8 6 11 9.4 0.7 -12.3 -25.5 -23.4
-26.5 -32.9 -24.1 -13.4 -6.7 6.1 11.2 9.4 3 -15.2 -23.1 -30.7
-28 -31.5 -24.6 -14.4 -4.5 8.1 13.8 10.7 4.1 -12.8 -24 -24.5
-31.1 -31.7 -26.7 -17 -3.9 8.4 14.9 10.5 3.6 -12.1 -26.4 -19.9
-38.5 -30.4 -21.6 -14.8 -6.2 6.6 10.7 10.8 2.6 -18.1 -34.1 -32.9
-33.9 -27.5 -21.7 -18.9 -6.8 4.7 13.5 11.3 1.9 -12.8 -29.8 -33.3
-36.6 -32.2 -29.2 -14.1 -9.7 5.8 12.9 8.9 -0.5 -11.6 -30.8 -32.3
-34.4 -34 -24.3 -18.7 -5.2 6 14.9 14.8 3.9 -13.4 -19.7 -25.5
-33.3 -35.4 -24.9 -19.3 -8.6 4.1 15 7.6 2.3 -13.5 -23.2 -25.9
-34.7 -38.8 -28.2 -18.5 -6 6.7 17.3 10.6 0.6 -12.5 -20 -27.6
-31.5 -27.8 -19.4 -12.1 -8.2 4.2 12.9 8.6 1.7 -12.2 -34.4 -36.4
-35.3 -31.4 -25.6 -12.8 -6.6 6.3 17.5 9.1 2.4 -3.5 -17.1 -21.3
-39.3 -40.1 -33.9 -19.8 -6.9 3.9 12.7 9.7 1.6 -15.2 -28.2 -20.5
-35.4 -36.3 -24.6 -16.3 -8 0.7 15.8 11.7 2.7 -12.4 -30.4 -28
-33.9 -19.6 -31.4 -20 -8.8 3.1 14.3 10.7 5.1 -10.6 -21.7 -27.1
-29.5 -29.1 -27 -19.6 -8.4 5.8 13.2 10.2 0.3 -10.7 -21.7 -32.6
-28.7 -29.5 -25 -14.8 -8.2 4.2 13.9 11.6 2.8 -10.4 -27.3 -35.9
-40.1 -34.4 -19.5 -17.3 -7.4 3.4 11.8 8.8 3.5 -11.8 -24.6 -33.8
-34.6 -38.3 -31.2 -18.7 -5.2 9.7 12.1 8.4 1.9 -14.2 -27.7 -22.7
-36.2 -27.3 -20.9 -18.3 -7.7 11.3 15.5 13.4 3.3 -11.4 -25 -31.1
-31.4 -35.9 -30.9 -20.4 -7.7 2.5 16.1 6.5 -0.7 -16.2 -33.4 -37.9
-33 -34.4 -26.7 -20.4 -4.1 10.1 14.1 11.5 -3.3 -19.5 -32.9 -34.6
-36.1 -36.5 -24.8 -20.3 -6.1 6.5 13.4 8.3 -2.2 -14.3 -30.5 -33.1
-38.1 -37.4 -21.8 -19.2 -7 4 13.7 6.2 0 -8.1 -27.1 -30.5
-27.2 -30.3 -22.3 -18.3 -6.3 5.7 8.4 8.5 2 -13.7 -23.6 -30.4
-32.8 -33.7 -26.3 -20.4 -5.3 2.7 11 8.5 -1.9 -19.4 -27.9 -31.1
-36.1 -37.7 -28.5 -16.5 -6.7 3.9 14.6 8.5 4.3 -13.1 -23 -28.9
-36.5 -31.5 -18.8 -12.1 -4.6 10 13.2 8.3 2.4 -13.1 -32.3 -33.5
-32.9 -27.3 -23.2 -18.9 -5 1 9.4 6.7 -1.5 -13 -32.2 -27.9
-28.6 -32 -26.8 -23.1 -5.4 7.5 10.9 8.3 2.5 -13 -24.9 -20.6
-41.2 -35.2 -30.2 -17.9 -6.9 0.8 12.8 9.4 1.6 -11.7 -29 -33.5
-34.4 -29.5 -29.3 -20.6 -7.9 3.3 14.7 8.2 0.3 -10.2 -22.4 -34.3
-35.2 -33.2 -27.1 -18.5 -8.6 7.8 11.9 8.5 2.2 -10.9 -22 -30.7
-27.3 -32.4 -26.3 -24.1 -7.8 6.3 18.5 8 2.8 -12 -27.9 -30.3
-30.4 -30.4 -24.7 -21.5 -7.3 6.3 11 10.9 3.1 -10.4 -19.3 -31.5
-37.5 -29.1 -31.2 -15.8 -9.2 3.5 11.4 11.4 1 -18.6 -32.4 -31
-21.3 -32 -27.9 -15.9 -10.1 4.9 11.1 9.9 -0.7 -14.3 -20.8 -29.9
-34.5 -30.3 -29.8 -16.4 -6.8 2.2 12.6 11.5 1.7 -8.4 -32.2 -22
-43 -45.4 -32.7 -20.1 -9.5 9.3 15.9 8.7 0.6 -15.5 -29.2 -29.9
-39.3 -31.5 -30.5 -20.4 -5.1 5.4 14.2 10.8 0.6 -9.7 -21 -39.4
-33.7 -36.9 -31 -15.2 -3.3 5.5 11.4 6.7 -0.1 -18.3 -29.3 -35.4
-30.4 -35.2 -29.3 -13.5 -8 5.6 10.1 6.7 1.1 -16.6 -29.2 -37
-30.4 -33.1 -27.7 -14.9 -5.6 7.4 12.9 9 2.7 -14 -27.4 -28.1
-31.3 -31.9 -26.9 -17.2 -4.1 8.2 14.7 10.3 3.4 -12.3 -26.6 -20.1
-38.7 -30.6 -21.8 -15 -6.4 6.4 10.5 10.6 2.4 -18.3 -34.3 -33.1
-34.1 -27.7 -21.9 -19.1 -7 4.5 13.3 11.1 1.7 -13 -30 -33.5
-36.8 -32.4 -29.4 -14.3 -9.9 5.6 12.7 8.7 -0.7 -11.8 -31 -32.5
-34.6 -34.2 -24.5 -18.9 -5.4 5.8 14.7 14.6 3.7 -13.6 -19.9 -25.7
-33.5 -35.6 -25.1 -19.5 -8.8 3.9 14.8 7.4 2.1 -13.7 -23.4 -26.1
-34.9 -39 -28.4 -18.7 -6.2 6.5 17.1 10.4 0.4 -12.7 -20.2 -27.8
-31.7 -28 -19.6 -12.3 -8.4 4 12.7 8.4 1.5 -12.4 -34.6 -36.6
-35.5 -31.6 -25.8 -13 -6.8 6.1 17.3 8.9 2.2 -3.7 -17.3 -21.5
-39.5 -40.3 -34.1 -20 -7.1 3.7 12.5 9.5 1.4 -15.4 -28.4 -20.7
-35.6 -36.5 -24.8 -16.5 -8.2 0.5 15.6 11.5 2.5 -12.6 -30.6 -28.2
-34.1 -19.8 -31.6 -20.2 -9 2.9 14.1 10.5 4.9 -10.8 -21.9 -27.3
